"interval_no","record_type","scale_no","scale_level","interval_name","abbrev","parent_no","color","max_ma","min_ma","reference_no"
3002,"int",1,5,"Holocene","",32,"#FEF2E0",0.0117,0,47900
32,"int",1,4,"Holocene","",12,"#FEF2E0",0.0117,0,47900
922,"int",1,5,"Late Pleistocene","",33,"#FFF2D3",0.126,0.0117,15443
923,"int",1,5,"Middle Pleistocene","",33,"#FFF2C7",0.781,0.126,15443
740,"int",1,5,"Calabrian","",33,"#FFF2BA",1.806,0.781,47900
12,"int",1,3,"Quaternary","",1,"#F9F97F",2.588,0,47900
33,"int",1,4,"Pleistocene","",12,"#FFF2AE",2.588,0.0117,47900
741,"int",1,5,"Gelasian","",33,"#FFEDB3",2.588,1.806,47900
96,"int",1,5,"Piacenzian","",34,"#FFFFBF",3.6,2.588,47900
97,"int",1,5,"Zanclean","",34,"#FFFFB3",5.333,3.6,47900
34,"int",1,4,"Pliocene","",25,"#FFFF99",5.333,2.588,47900
98,"int",1,5,"Messinian","",35,"#FFFF73",7.246,5.333,47900
99,"int",1,5,"Tortonian","",35,"#FFFF66",11.62,7.246,47900
100,"int",1,5,"Serravallian","",35,"#FFFF59",13.82,11.62,47900
101,"int",1,5,"Langhian","",35,"#FFFF4D",15.97,13.82,47900
102,"int",1,5,"Burdigalian","",35,"#FFFF41",20.44,15.97,47900
25,"int",1,3,"Neogene","Ng",1,"#FFE619",23.03,2.588,47900
103,"int",1,5,"Aquitanian","",35,"#FFFF33",23.03,20.44,47900
35,"int",1,4,"Miocene","",25,"#FFFF00",23.03,5.333,47900
104,"int",1,5,"Chattian","",36,"#FEE6AA",28.1,23.03,47900
105,"int",1,5,"Rupelian","",36,"#FED99A",33.9,28.1,47900
36,"int",1,4,"Oligocene","",26,"#FDC07A",33.9,23.03,47900
106,"int",1,5,"Priabonian","",37,"#FDCDA1",38,33.9,47900
107,"int",1,5,"Bartonian","",37,"#FDC091",41.3,38,47900
108,"int",1,5,"Lutetian","",37,"#FCB482",47.8,41.3,47900
37,"int",1,4,"Eocene","",26,"#FDB46C",56,33.9,47900
109,"int",1,5,"Ypresian","",37,"#FCA773",56,47.8,47900
110,"int",1,5,"Thanetian","",38,"#FDBF6F",59.2,56,47900
743,"int",1,5,"Selandian","",38,"#FEBF65",61.6,59.2,47900
111,"int",1,5,"Danian","",38,"#FDB462",66,61.6,47900
38,"int",1,4,"Paleocene","",26,"#FDA75F",66,56,47900
26,"int",1,3,"Paleogene","Pg",1,"#FD9A52",66,23.03,47900
1,"int",1,2,"Cenozoic","Cz",751,"#F2F91D",66,0,47900
112,"int",1,5,"Maastrichtian","",39,"#F2FA8C",72.1,66,47900
113,"int",1,5,"Campanian","",39,"#E6F47F",83.6,72.1,47900
114,"int",1,5,"Santonian","",39,"#D9EF74",86.3,83.6,47900
115,"int",1,5,"Coniacian","",39,"#CCE968",89.8,86.3,47900
116,"int",1,5,"Turonian","",39,"#BFE35D",93.9,89.8,47900
117,"int",1,5,"Cenomanian","",39,"#B3DE53",100.5,93.9,47900
39,"int",1,4,"Late Cretaceous","",14,"#A6D84A",100.5,66,47900
118,"int",1,5,"Albian","",40,"#CCEA97",113,100.5,47900
119,"int",1,5,"Aptian","",40,"#BFE48A",125,113,47900
120,"int",1,5,"Barremian","",40,"#B3DF7F",129.4,125,47900
121,"int",1,5,"Hauterivian","",40,"#A6D975",132.9,129.4,47900
122,"int",1,5,"Valanginian","",40,"#99D36A",139.8,132.9,47900
14,"int",1,3,"Cretaceous","K",2,"#7FC64E",145,66,47900
40,"int",1,4,"Early Cretaceous","",14,"#8CCD57",145,100.5,47900
123,"int",1,5,"Berriasian","",40,"#8CCD60",145,139.8,47900
124,"int",1,5,"Tithonian","",41,"#D9F1F7",152.1,145,47900
125,"int",1,5,"Kimmeridgian","",41,"#CCECF4",157.3,152.1,47900
126,"int",1,5,"Oxfordian","",41,"#BFE7F1",163.5,157.3,47900
41,"int",1,4,"Late Jurassic","",15,"#B3E3EE",163.5,145,47900
127,"int",1,5,"Callovian","",42,"#BFE7E5",166.1,163.5,47900
128,"int",1,5,"Bathonian","",42,"#B3E2E3",168.3,166.1,47900
129,"int",1,5,"Bajocian","",42,"#A6DDE0",170.3,168.3,47900
42,"int",1,4,"Middle Jurassic","",15,"#80CFD8",174.1,163.5,47900
130,"int",1,5,"Aalenian","",42,"#9AD9DD",174.1,170.3,47900
131,"int",1,5,"Toarcian","",43,"#99CEE3",182.7,174.1,47900
132,"int",1,5,"Pliensbachian","",43,"#80C5DD",190.8,182.7,47900
133,"int",1,5,"Sinemurian","",43,"#67BCD8",199.3,190.8,47900
134,"int",1,5,"Hettangian","",43,"#4EB3D3",201.3,199.3,47900
43,"int",1,4,"Early Jurassic","",15,"#42AED0",201.3,174.1,47900
15,"int",1,3,"Jurassic","J",2,"#34B2C9",201.3,145,47900
135,"int",1,5,"Rhaetian","",44,"#E3B9DB",208.5,201.3,47900
136,"int",1,5,"Norian","",44,"#D6AAD3",228,208.5,47900
44,"int",1,4,"Late Triassic","",16,"#BD8CC3",237,201.3,47900
137,"int",1,5,"Carnian","",44,"#C99BCB",237,228,47900
138,"int",1,5,"Ladinian","",45,"#C983BF",242,237,47900
139,"int",1,5,"Anisian","",45,"#BC75B7",247.2,242,47900
45,"int",1,4,"Middle Triassic","",16,"#B168B1",247.2,237,47900
652,"int",1,5,"Olenekian","",46,"#B051A5",251.2,247.2,47900
46,"int",1,4,"Early Triassic","",16,"#983999",252.17,247.2,47900
2,"int",1,2,"Mesozoic","Mz",751,"#67C5CA",252.17,66,47900
653,"int",1,5,"Induan","",46,"#A4469F",252.17,251.2,47900
16,"int",1,3,"Triassic","Tr",2,"#812B92",252.17,201.3,47900
715,"int",1,5,"Changhsingian","",771,"#FCC0B2",254.17,252.17,9184
771,"int",1,4,"Lopingian","",17,"#FBA794",259.9,252.17,47900
716,"int",1,5,"Wuchiapingian","",771,"#FCB4A2",259.9,254.17,9184
145,"int",1,5,"Capitanian","",772,"#FB9A85",265.1,259.9,5954
146,"int",1,5,"Wordian","",772,"#FB8D76",268.8,265.1,5954
772,"int",1,4,"Guadalupian","",17,"#FB745C",272.3,259.9,47900
717,"int",1,5,"Roadian","",772,"#FB8069",272.3,268.8,9184
148,"int",1,5,"Kungurian","",773,"#E38776",279.3,272.3,5954
149,"int",1,5,"Artinskian","",773,"#E37B68",290.1,279.3,5954
150,"int",1,5,"Sakmarian","",773,"#E36F5C",295.5,290.1,5954
773,"int",1,4,"Cisuralian","",17,"#EF5845",298.9,272.3,47900
151,"int",1,5,"Asselian","",773,"#E36350",298.9,295.5,5954
17,"int",1,3,"Permian","P",3,"#F04028",298.9,252.17,47900
49,"int",1,5,"Gzhelian","",27,"#CCD4C7",303.7,298.9,5954
50,"int",1,5,"Kasimovian","",27,"#BFD0C5",307,303.7,5954
51,"int",1,5,"Moscovian","",27,"#B3CBB9",315.2,307,5954
52,"int",1,5,"Bashkirian","",27,"#99C2B6",323.2,315.2,5954
27,"int",1,4,"Pennsylvanian","",18,"#99C2B5",323.2,298.9,47900
53,"int",1,5,"Serpukhovian","",28,"#BFC26B",330.9,323.2,5954
54,"int",1,5,"Visean","",28,"#A6B96C",346.7,330.9,5954
28,"int",1,4,"Mississippian","",18,"#678F66",358.9,323.2,47900
18,"int",1,3,"Carboniferous","C",3,"#67A599",358.9,298.9,47900
55,"int",1,5,"Tournaisian","",28,"#8CB06C",358.9,346.7,5954
177,"int",1,5,"Famennian","",56,"#F2EDC5",372.2,358.9,47900
178,"int",1,5,"Frasnian","",56,"#F2EDAD",382.7,372.2,47900
56,"int",1,4,"Late Devonian","",19,"#F1E19D",382.7,358.9,47900
179,"int",1,5,"Givetian","",57,"#F1E185",387.7,382.7,47900
180,"int",1,5,"Eifelian","",57,"#F1D576",393.3,387.7,47900
57,"int",1,4,"Middle Devonian","",19,"#F1C868",393.3,382.7,47900
181,"int",1,5,"Emsian","",58,"#E5D075",407.6,393.3,47900
182,"int",1,5,"Pragian","",58,"#E5C468",410.8,407.6,47900
183,"int",1,5,"Lochkovian","",58,"#E5B75A",419.2,410.8,47900
19,"int",1,3,"Devonian","D",3,"#CB8C37",419.2,358.9,47900
58,"int",1,4,"Early Devonian","",19,"#E5AC4D",419.2,393.3,47900
3001,"int",1,5,"Pridoli","",59,"#E6F5E1",423,419.2,47900
59,"int",1,4,"Pridoli","",20,"#E6F5E1",423,419.2,47900
184,"int",1,5,"Ludfordian","",60,"#D9F0DF",425.6,423,47900
60,"int",1,4,"Ludlow","",20,"#BFE6CF",427.4,423,47900
185,"int",1,5,"Gorstian","",60,"#CCECDD",427.4,425.6,47900
785,"int",1,5,"Homerian","",61,"#CCEBD1",430.5,427.4,47900
61,"int",1,4,"Wenlock","",20,"#B3E1C2",433.4,427.4,47900
188,"int",1,5,"Sheinwoodian","",61,"#BFE6C3",433.4,430.5,47900
189,"int",1,5,"Telychian","",62,"#BFE6D1",438.5,433.4,47900
190,"int",1,5,"Aeronian","",62,"#B3E1C2",440.8,438.5,47900
191,"int",1,5,"Rhuddanian","",62,"#A6DCB5",443.4,440.8,47900
62,"int",1,4,"Llandovery","",20,"#99D7B3",443.4,433.4,47900
20,"int",1,3,"Silurian","S",3,"#B3E1B6",443.4,419.2,47900
192,"int",1,5,"Hirnantian","",29,"#A6DBAB",445.2,443.4,47900
1008,"int",1,5,"Katian","",29,"#99D69F",453,445.2,47900
29,"int",1,4,"Late Ordovician","",21,"#7FCA93",458.4,443.4,47900
1009,"int",1,5,"Sandbian","",29,"#8CD094",458.4,453,47900
556,"int",1,5,"Darriwilian","",30,"#74C69C",467.3,458.4,47900
1079,"int",1,5,"Dapingian","",30,"#66C092",470,467.3,47900
30,"int",1,4,"Middle Ordovician","",21,"#4DB47E",470,458.4,47900
1010,"int",1,5,"Floian","",31,"#41B087",477.7,470,47900
559,"int",1,5,"Tremadocian","",31,"#33A97E",485.4,477.7,47900
31,"int",1,4,"Early Ordovician","",21,"#1A9D6F",485.4,470,47900
21,"int",1,3,"Ordovician","O",3,"#009270",485.4,443.4,47900
1112,"int",1,5,"Stage 10","",780,"#E6F5C9",489.5,485.4,47900
1113,"int",1,5,"Jiangshanian","",780,"#D9F0BB",494,489.5,47900
1114,"int",1,5,"Paibian","",780,"#CCEBAE",497,494,47900
780,"int",1,4,"Furongian","",22,"#B3E095",497,485.4,47900
1087,"int",1,5,"Guzhangian","",1109,"#CCDFAA",500.5,497,47900
1116,"int",1,5,"Drumian","",1109,"#BFD99D",504.5,500.5,47900
1117,"int",1,5,"Stage 5","",1109,"#B3D492",509,504.5,47900
1109,"int",1,4,"Series 3","",22,"#A6CF86",509,497,47900
1118,"int",1,5,"Stage 4","",1110,"#B3CA8E",514,509,47900
1119,"int",1,5,"Stage 3","",1110,"#A6C583",521,514,47900
1110,"int",1,4,"Series 2","",22,"#99C078",521,509,47900
1120,"int",1,5,"Stage 2","",1111,"#A6BA80",529,521,47900
22,"int",1,3,"Cambrian","Cm",3,"#7FA056",541,485.4,47900
1111,"int",1,4,"Terreneuvian","",22,"#8CB06C",541,521,47900
751,"int",1,1,"Phanerozoic","",0,"#9AD9DD",541,0,47900
3,"int",1,2,"Paleozoic","Pz",751,"#99C08D",541,252.17,47900
1121,"int",1,5,"Fortunian","",1111,"#99B575",541,529,47900
761,"int",1,3,"Ediacaran","",754,"#FED96A",635,541,47900
762,"int",1,3,"Cryogenian","",754,"#FECC5C",850,635,47900
763,"int",1,3,"Tonian","",754,"#FEBF4E",1000,850,47900
754,"int",1,2,"Neoproterozoic","",752,"#FEB342",1000,541,47900
764,"int",1,3,"Stenian","",755,"#FED99A",1200,1000,47900
765,"int",1,3,"Ectasian","",755,"#F3CC8A",1400,1200,47900
755,"int",1,2,"Mesoproterozoic","",752,"#FDB462",1600,1000,47900
766,"int",1,3,"Calymmian","",755,"#FDC07A",1600,1400,47900
767,"int",1,3,"Statherian","",756,"#F875A7",1800,1600,47900
768,"int",1,3,"Orosirian","",756,"#F76898",2050,1800,47900
769,"int",1,3,"Rhyacian","",756,"#F75B89",2300,2050,47900
756,"int",1,2,"Paleoproterozoic","",752,"#F74370",2500,1600,47900
752,"int",1,1,"Proterozoic","",0,"#F73563",2500,541,47900
770,"int",1,3,"Siderian","",756,"#F74F7C",2500,2300,47900
757,"int",1,2,"Neoarchean","",753,"#F99BC1",2800,2500,15443
758,"int",1,2,"Mesoarchean","",753,"#F768A9",3200,2800,15443
759,"int",1,2,"Paleoarchean","",753,"#F444A9",3600,3200,15443
753,"int",1,1,"Archean","",0,"#F0047F",4000,2500,15443
760,"int",1,2,"Eoarchean","",753,"#DA037F",4000,3600,15443
11,"int",1,1,"Hadean","",0,"#AE027E",4600,4000,5954
