"","bin","stages","LAD","FAD","midpoint","duration"
"1","Holocene","Holocene",0,0.0117,0.00585,0.0117
"2","Late Pleistocene","Late Pleistocene",0.0117,0.126,0.06885,0.1143
"3","Middle Pleistocene","Middle Pleistocene",0.126,0.781,0.4535,0.655
"4","Calabrian","Calabrian",0.781,1.806,1.2935,1.025
"5","Gelasian","Gelasian",1.806,2.588,2.197,0.782
"6","Piacenzian","Piacenzian",2.588,3.6,3.094,1.012
"7","Zanclean","Zanclean",3.6,5.333,4.4665,1.733
"8","Messinian","Messinian",5.333,7.246,6.2895,1.913
"9","Tortonian","Tortonian",7.246,11.62,9.433,4.374
"10","Serravallian","Serravallian",11.62,13.82,12.72,2.2
"11","Langhian","Langhian",13.82,15.97,14.895,2.15
"12","Burdigalian","Burdigalian",15.97,20.44,18.205,4.47
"13","Aquitanian","Aquitanian",20.44,23.03,21.735,2.59
"14","Chattian","Chattian",23.03,28.1,25.565,5.07
"15","Rupelian","Rupelian",28.1,33.9,31,5.8
"16","Priabonian","Priabonian",33.9,38,35.95,4.1
"17","Bartonian","Bartonian",38,41.3,39.65,3.3
"18","Lutetian","Lutetian",41.3,47.8,44.55,6.5
"19","Ypresian","Ypresian",47.8,56,51.9,8.2
"20","Thanetian","Thanetian",56,59.2,57.6,3.2
"21","Selandian","Selandian",59.2,61.6,60.4,2.4
"22","Danian","Danian",61.6,66,63.8,4.4
"23","Maastrichtian","Maastrichtian",66,72.1,69.05,6.09999999999999
"24","Campanian","Campanian",72.1,83.6,77.85,11.5
"25","Santonian","Santonian",83.6,86.3,84.95,2.7
"26","Coniacian","Coniacian",86.3,89.8,88.05,3.5
"27","Turonian","Turonian",89.8,93.9,91.85,4.10000000000001
"28","Cenomanian","Cenomanian",93.9,100.5,97.2,6.59999999999999
"29","Albian","Albian",100.5,113,106.75,12.5
"30","Aptian","Aptian",113,125,119,12
"31","Barremian","Barremian",125,129.4,127.2,4.40000000000001
"32","Hauterivian","Hauterivian",129.4,132.9,131.15,3.5
"33","Valanginian","Valanginian",132.9,139.8,136.35,6.90000000000001
"34","Berriasian","Berriasian",139.8,145,142.4,5.19999999999999
"35","Tithonian","Tithonian",145,152.1,148.55,7.09999999999999
"36","Kimmeridgian","Kimmeridgian",152.1,157.3,154.7,5.20000000000002
"37","Oxfordian","Oxfordian",157.3,163.5,160.4,6.19999999999999
"38","Callovian","Callovian",163.5,166.1,164.8,2.59999999999999
"39","Bathonian","Bathonian",166.1,168.3,167.2,2.20000000000002
"40","Bajocian","Bajocian",168.3,170.3,169.3,2
"41","Aalenian","Aalenian",170.3,174.1,172.2,3.79999999999998
"42","Toarcian","Toarcian",174.1,182.7,178.4,8.59999999999999
"43","Pliensbachian","Pliensbachian",182.7,190.8,186.75,8.10000000000002
"44","Sinemurian","Sinemurian",190.8,199.3,195.05,8.5
"45","Hettangian","Hettangian",199.3,201.3,200.3,2
"46","Rhaetian","Rhaetian",201.3,208.5,204.9,7.19999999999999
"47","Norian","Norian",208.5,228,218.25,19.5
"48","Carnian","Carnian",228,237,232.5,9
"49","Ladinian","Ladinian",237,242,239.5,5
"50","Anisian","Anisian",242,247.2,244.6,5.19999999999999
"51","Olenekian","Olenekian",247.2,251.2,249.2,4
"52","Induan","Induan",251.2,252.17,251.685,0.969999999999999
"53","Changhsingian","Changhsingian",252.17,254.17,253.17,2
"54","Wuchiapingian","Wuchiapingian",254.17,259.9,257.035,5.72999999999999
"55","Capitanian","Capitanian",259.9,265.1,262.5,5.20000000000005
"56","Wordian","Wordian",265.1,268.8,266.95,3.69999999999999
"57","Roadian","Roadian",268.8,272.3,270.55,3.5
"58","Kungurian","Kungurian",272.3,279.3,275.8,7
"59","Artinskian","Artinskian",279.3,290.1,284.7,10.8
"60","Sakmarian","Sakmarian",290.1,295.5,292.8,5.39999999999998
"61","Asselian","Asselian",295.5,298.9,297.2,3.39999999999998
"62","Gzhelian","Gzhelian",298.9,303.7,301.3,4.80000000000001
"63","Kasimovian","Kasimovian",303.7,307,305.35,3.30000000000001
"64","Moscovian","Moscovian",307,315.2,311.1,8.19999999999999
"65","Bashkirian","Bashkirian",315.2,323.2,319.2,8
"66","Serpukhovian","Serpukhovian",323.2,330.9,327.05,7.69999999999999
"67","Visean","Visean",330.9,346.7,338.8,15.8
"68","Tournaisian","Tournaisian",346.7,358.9,352.8,12.2
"69","Famennian","Famennian",358.9,372.2,365.55,13.3
"70","Frasnian","Frasnian",372.2,382.7,377.45,10.5
